team,conf,adjem,adjo,adjd,luck,Season,TeamID
samford,SC,-12.07,98.1,110.2,-0.003,2020,1359
charleston southern,BSth,-12.29,95.4,107.7,0.064,2020,1149
charleston southern,BSth,-12.29,95.4,107.7,0.064,2020,1149
grambling st.,SWAC,-12.55,94.2,106.7,0.055,2020,1212
cal poly,BW,-12.7,94.4,107.1,-0.012,2020,1142
cal poly,BW,-12.7,94.4,107.1,-0.012,2020,1142
morgan st.,MEAC,-12.73,93.4,106.1,0.054000000000000006,2020,1288
cleveland st.,Horz,-12.8,91.9,104.7,0.056,2020,1156
longwood,BSth,-12.86,92.7,105.6,-0.049,2020,1255
florida a&m,MEAC,-13.04,94.5,107.6,0.093,2020,1197
unc wilmington,CAA,-13.28,92.0,105.3,0.028,2020,1423
denver,Sum,-13.45,94.5,107.9,-0.062,2020,1176
marist,MAAC,-13.55,89.5,103.0,-0.059,2020,1265
morehead st.,OVC,-13.84,93.7,107.6,0.016,2020,1287
florida gulf coast,ASun,-13.96,90.8,104.7,-0.019,2020,1195
florida gulf coast,ASun,-13.96,90.8,104.7,-0.019,2020,1195
lehigh,Pat,-14.12,96.3,110.4,0.005,2020,1250
alcorn st.,SWAC,-14.64,96.5,111.2,0.02,2020,1108
usc upstate,BSth,-14.69,94.1,108.8,0.036000000000000004,2020,1367
usc upstate,BSth,-14.69,94.1,108.8,0.036000000000000004,2020,1367
new orleans,Slnd,-14.78,98.2,113.0,-0.079,2020,1309
new orleans,Slnd,-14.78,98.2,113.0,-0.079,2020,1309
alabama st.,SWAC,-15.08,88.7,103.7,0.029,2020,1106
tennessee martin,OVC,-15.47,105.8,121.3,0.046,2020,1404
the citadel,SC,-15.69,94.7,110.4,0.012,2020,1154
the citadel,SC,-15.69,94.7,110.4,0.012,2020,1154
presbyterian,BSth,-16.0,97.3,113.3,0.017,2020,1342
western illinois,Sum,-16.01,97.2,113.2,-0.071,2020,1442
western illinois,Sum,-16.01,97.2,113.2,-0.071,2020,1442
hampton,BSth,-16.09,101.0,117.1,0.066,2020,1214
